age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,stress_level,burnout_level
37.0,15.0,13.86,8.01,4.0,,24.0,3.0,18.37,1.72,39.4,
34.0,17.0,9.49,7.24,6.0,7.0,10.0,0.0,12.39,1.42,42.03,Medium
31.0,19.0,4.71,8.24,3.0,8.0,2.0,0.0,6.4,0.21,26.58,Low
35.0,11.0,9.41,5.95,4.0,11.0,26.0,0.0,12.13,1.87,44.39,Medium
27.0,12.0,12.92,6.76,4.0,17.0,15.0,7.0,14.7,1.34,71.95,High
33.0,12.0,10.8,7.88,6.0,16.0,21.0,2.0,13.3,0.22,75.14,High
,9.0,11.2,4.42,2.0,7.0,9.0,8.0,14.19,1.72,56.95,Medium
36.0,6.0,4.85,8.29,1.0,19.0,1.0,9.0,7.29,0.96,39.6,Medium
40.0,13.0,5.07,4.78,,10.0,18.0,1.0,8.7,0.56,17.7,Low
27.0,15.0,5.27,8.32,7.0,6.0,3.0,8.0,10.01,1.65,41.88,Medium
34.0,14.0,13.04,5.56,5.0,13.0,15.0,8.0,15.43,1.48,81.04,High
33.0,11.0,9.26,5.63,,9.0,5.0,3.0,,1.25,66.4,Medium
37.0,8.0,11.92,4.37,7.0,14.0,10.0,3.0,15.87,1.8,92.23,High
39.0,7.0,5.15,8.43,6.0,11.0,16.0,3.0,8.27,1.72,17.8,Low
26.0,17.0,13.28,4.87,7.0,19.0,14.0,0.0,16.0,0.45,100.0,High
22.0,17.0,12.21,7.15,4.0,16.0,21.0,4.0,16.47,1.76,87.43,High
31.0,12.0,6.25,7.22,0.0,7.0,3.0,5.0,10.81,0.75,21.8,Low
,17.0,12.74,5.41,7.0,13.0,23.0,3.0,16.1,0.86,99.08,High
43.0,14.0,6.63,8.93,3.0,14.0,24.0,7.0,8.37,1.94,44.42,Medium
22.0,,6.05,4.32,7.0,10.0,7.0,2.0,8.92,1.52,38.48,Medium
39.0,16.0,6.64,7.04,1.0,11.0,23.0,8.0,9.66,0.64,58.1,Medium
33.0,4.0,13.1,6.4,3.0,19.0,28.0,6.0,15.83,1.3,88.14,High
34.0,15.0,13.16,5.23,5.0,15.0,28.0,7.0,15.21,1.08,100.0,High
44.0,8.0,7.29,4.82,5.0,19.0,17.0,6.0,10.18,0.23,70.5,High
33.0,9.0,11.05,7.69,4.0,17.0,13.0,8.0,13.84,1.78,94.68,High
26.0,17.0,10.76,8.58,7.0,9.0,25.0,1.0,12.6,1.64,48.46,Medium
36.0,16.0,12.07,4.54,0.0,18.0,1.0,3.0,16.68,1.56,86.51,High
31.0,17.0,6.97,4.97,4.0,17.0,15.0,1.0,11.51,1.12,50.43,Medium
39.0,6.0,9.1,8.93,1.0,0.0,21.0,7.0,,0.44,34.5,Low
23.0,3.0,10.68,4.08,2.0,3.0,14.0,1.0,13.28,1.77,,Low
28.0,4.0,4.26,6.54,5.0,6.0,20.0,7.0,6.74,0.71,36.78,Medium
25.0,15.0,7.77,6.58,0.0,0.0,5.0,5.0,11.64,0.04,14.2,Low
35.0,2.0,10.96,5.32,5.0,7.0,8.0,6.0,14.39,1.96,73.2,High
44.0,17.0,6.53,7.32,1.0,16.0,11.0,5.0,9.93,1.72,38.42,Medium
41.0,13.0,13.58,8.72,1.0,7.0,9.0,8.0,15.08,1.25,61.33,Medium
41.0,14.0,4.3,6.25,7.0,4.0,6.0,3.0,7.77,0.02,15.76,Low
40.0,16.0,13.58,7.75,5.0,0.0,4.0,0.0,18.19,0.46,46.44,Medium
40.0,0.0,6.17,7.23,4.0,14.0,25.0,8.0,7.51,0.9,48.96,Medium
21.0,16.0,4.49,6.36,5.0,3.0,22.0,9.0,6.85,1.26,33.18,Low
43.0,10.0,6.92,4.25,7.0,6.0,,7.0,9.96,1.42,54.23,Medium
27.0,16.0,11.86,7.71,4.0,13.0,26.0,0.0,15.6,1.58,44.31,Medium
30.0,13.0,11.52,5.82,5.0,11.0,11.0,9.0,12.88,1.11,83.88,High
32.0,19.0,6.09,5.12,4.0,2.0,0.0,5.0,10.58,1.31,24.51,Low
36.0,18.0,5.97,8.74,7.0,19.0,9.0,9.0,7.13,1.62,75.49,High
27.0,6.0,10.43,7.87,2.0,17.0,10.0,3.0,14.86,1.44,71.84,High
40.0,12.0,8.58,8.81,3.0,7.0,26.0,1.0,9.69,1.91,7.92,Low
37.0,17.0,11.92,5.28,3.0,1.0,22.0,2.0,13.53,1.75,45.67,Medium
37.0,13.0,4.24,8.18,4.0,5.0,19.0,8.0,8.44,0.34,25.98,Low
33.0,0.0,10.1,7.04,4.0,6.0,4.0,4.0,14.54,1.89,36.1,Medium
34.0,6.0,11.31,8.91,6.0,6.0,12.0,6.0,16.24,0.41,62.32,Medium
25.0,,13.93,8.73,6.0,12.0,17.0,1.0,15.39,1.98,68.52,Medium
30.0,17.0,,8.86,2.0,0.0,9.0,7.0,13.9,1.4,9.89,Low
32.0,8.0,6.32,8.76,7.0,7.0,20.0,2.0,7.63,1.26,34.31,Low
44.0,0.0,5.08,4.04,3.0,12.0,24.0,0.0,6.71,0.65,43.1,Medium
20.0,16.0,,7.71,2.0,19.0,16.0,7.0,12.11,0.27,82.6,High
25.0,18.0,9.23,5.36,6.0,18.0,18.0,8.0,10.48,0.25,86.68,High
28.0,5.0,12.99,7.53,6.0,16.0,3.0,7.0,17.56,,96.07,High
27.0,2.0,11.27,8.9,1.0,12.0,8.0,0.0,12.78,0.86,35.9,Medium
30.0,4.0,9.1,4.2,5.0,15.0,17.0,6.0,12.62,1.12,93.8,High
41.0,1.0,8.04,6.83,6.0,14.0,15.0,6.0,11.54,1.86,70.56,High
38.0,19.0,8.04,7.67,3.0,10.0,6.0,3.0,9.83,,42.17,Medium
43.0,3.0,6.26,5.27,4.0,11.0,24.0,7.0,11.25,1.53,45.52,Medium
28.0,9.0,4.17,5.13,7.0,2.0,11.0,4.0,6.56,0.94,30.59,Low
36.0,9.0,9.75,4.3,0.0,8.0,25.0,3.0,14.37,0.43,62.32,Medium
31.0,10.0,6.12,4.47,6.0,13.0,3.0,4.0,10.91,1.71,50.83,Medium
44.0,15.0,6.08,7.28,1.0,6.0,20.0,1.0,10.88,1.36,15.59,Low
33.0,16.0,5.25,6.53,5.0,10.0,27.0,3.0,9.26,0.19,33.38,Low
34.0,15.0,5.9,4.15,0.0,9.0,11.0,9.0,7.92,1.08,35.08,Medium
35.0,6.0,4.32,,2.0,2.0,11.0,7.0,5.8,1.7,0.0,Low
41.0,15.0,10.74,7.28,5.0,18.0,,6.0,14.02,0.13,89.49,High
41.0,2.0,8.01,6.58,2.0,1.0,3.0,7.0,10.45,0.83,51.81,Medium
39.0,15.0,9.62,5.36,2.0,16.0,11.0,6.0,13.94,1.61,62.94,Medium
,7.0,10.37,7.29,4.0,1.0,22.0,6.0,14.35,1.72,34.04,Low
29.0,11.0,13.72,5.82,2.0,15.0,7.0,6.0,15.83,1.55,92.57,High
,,4.68,7.51,6.0,16.0,23.0,1.0,5.75,0.61,37.68,Medium
37.0,16.0,8.18,7.41,0.0,9.0,29.0,2.0,10.13,1.01,33.07,
20.0,17.0,6.46,4.46,1.0,3.0,29.0,0.0,9.73,1.48,20.24,Low
,10.0,,8.55,7.0,10.0,2.0,1.0,10.09,0.31,44.92,Medium
20.0,3.0,13.2,6.43,6.0,16.0,15.0,9.0,16.83,1.19,100.0,High
20.0,15.0,11.24,5.96,4.0,11.0,1.0,5.0,14.93,1.44,58.89,Medium
28.0,16.0,10.62,8.78,1.0,9.0,5.0,1.0,12.3,1.7,28.3,Low
32.0,8.0,8.41,6.19,2.0,15.0,27.0,0.0,11.8,0.22,62.81,
20.0,5.0,10.71,7.61,3.0,3.0,16.0,7.0,14.14,0.66,57.52,Medium
32.0,19.0,4.32,7.28,5.0,2.0,11.0,8.0,7.23,1.08,27.87,Low
39.0,1.0,9.86,4.83,4.0,8.0,8.0,6.0,14.67,1.4,56.26,Medium
41.0,8.0,9.54,8.96,2.0,5.0,15.0,2.0,10.97,1.46,16.52,Low
26.0,5.0,7.47,6.32,4.0,11.0,6.0,0.0,10.1,0.51,28.78,Low
21.0,2.0,6.02,5.97,3.0,0.0,7.0,3.0,10.55,0.03,2.72,Low
25.0,19.0,12.08,8.6,7.0,13.0,6.0,9.0,14.63,1.39,83.36,High
26.0,5.0,4.54,6.65,0.0,9.0,20.0,2.0,7.24,1.82,7.1,Low
33.0,6.0,4.7,7.53,6.0,,4.0,2.0,8.37,1.6,39.23,Medium
37.0,0.0,8.41,8.23,0.0,12.0,22.0,1.0,12.07,1.24,40.29,Medium
34.0,0.0,6.53,5.18,5.0,8.0,6.0,9.0,7.62,1.96,48.87,Medium
21.0,4.0,11.45,4.85,0.0,18.0,17.0,2.0,14.27,0.87,87.99,High
29.0,5.0,10.34,4.34,7.0,3.0,17.0,4.0,12.67,1.05,66.24,Medium
42.0,12.0,11.73,8.49,6.0,2.0,15.0,3.0,15.24,0.02,63.81,Medium
31.0,1.0,7.25,5.0,6.0,5.0,6.0,0.0,10.47,1.89,17.41,Low
36.0,14.0,11.41,5.54,7.0,8.0,20.0,0.0,15.01,,70.77,High
27.0,14.0,,5.43,3.0,9.0,1.0,0.0,16.24,0.78,54.73,Medium
30.0,12.0,7.45,5.52,1.0,8.0,16.0,9.0,9.47,0.09,51.77,Medium
22.0,13.0,7.4,7.34,,16.0,24.0,8.0,9.39,0.72,73.45,
25.0,6.0,13.0,8.77,3.0,9.0,26.0,8.0,15.48,0.01,69.38,Medium
28.0,13.0,4.5,5.65,3.0,5.0,7.0,8.0,6.47,0.65,40.94,Medium
25.0,9.0,7.5,6.04,2.0,15.0,1.0,9.0,11.23,1.9,73.25,High
28.0,16.0,5.19,7.86,7.0,16.0,17.0,,8.6,0.31,52.9,Medium
26.0,13.0,4.29,6.16,0.0,10.0,18.0,3.0,6.16,1.09,19.8,Low
28.0,7.0,5.13,8.63,4.0,19.0,19.0,9.0,9.67,0.37,74.08,High
37.0,3.0,8.31,6.52,6.0,6.0,8.0,6.0,11.15,1.57,53.9,Medium
31.0,15.0,10.87,5.74,5.0,3.0,11.0,2.0,12.38,1.12,46.34,Medium
27.0,12.0,6.89,8.86,1.0,9.0,21.0,9.0,8.74,0.4,42.73,Medium
,19.0,12.5,6.13,6.0,13.0,18.0,2.0,15.66,1.73,64.49,Medium
37.0,17.0,8.38,5.16,4.0,16.0,29.0,3.0,10.73,1.57,52.77,Medium
39.0,13.0,13.68,4.89,2.0,13.0,7.0,5.0,18.08,1.9,79.79,High
34.0,17.0,13.54,8.98,,19.0,21.0,0.0,16.52,0.0,73.25,High
26.0,4.0,11.73,7.76,2.0,12.0,7.0,2.0,16.39,0.91,45.56,Medium
30.0,8.0,13.32,6.04,1.0,1.0,9.0,4.0,14.73,2.0,39.27,Medium
39.0,2.0,11.07,8.13,4.0,8.0,27.0,3.0,14.74,1.62,58.48,Medium
35.0,7.0,12.96,6.73,1.0,2.0,17.0,7.0,17.5,1.66,48.49,Medium
23.0,19.0,6.36,5.59,1.0,3.0,14.0,8.0,8.53,1.24,43.49,Medium
25.0,9.0,7.45,7.72,0.0,11.0,23.0,7.0,8.99,1.43,35.82,Medium
41.0,18.0,11.53,7.73,7.0,14.0,10.0,8.0,14.36,1.61,86.57,High
22.0,2.0,8.25,6.5,4.0,19.0,20.0,7.0,13.1,0.18,73.21,High
28.0,10.0,12.37,4.23,0.0,7.0,25.0,9.0,15.9,1.39,80.94,High
29.0,10.0,12.78,4.39,6.0,17.0,13.0,0.0,16.36,1.63,100.0,High
33.0,16.0,7.0,7.94,0.0,4.0,14.0,6.0,10.69,0.08,21.86,Low
30.0,15.0,12.23,8.12,6.0,1.0,13.0,8.0,13.39,0.59,60.78,Medium
37.0,6.0,5.54,7.39,5.0,8.0,11.0,0.0,8.32,0.65,9.01,Low
41.0,3.0,7.34,8.2,0.0,13.0,3.0,,8.65,1.71,59.34,Medium
31.0,18.0,9.18,7.6,3.0,0.0,2.0,0.0,11.44,1.56,26.29,Low
42.0,11.0,6.26,8.48,2.0,19.0,11.0,9.0,10.55,1.31,50.51,Medium
31.0,14.0,9.79,4.75,2.0,3.0,24.0,1.0,13.42,1.61,33.33,Low
32.0,10.0,9.79,5.94,3.0,16.0,25.0,4.0,14.77,0.91,74.85,High
44.0,4.0,6.07,6.32,6.0,9.0,6.0,7.0,7.76,1.75,47.99,Medium
32.0,,11.96,5.49,6.0,1.0,6.0,7.0,14.55,0.47,61.24,Medium
38.0,14.0,10.32,7.63,7.0,5.0,21.0,9.0,14.56,1.41,55.36,Medium
38.0,17.0,7.18,8.56,1.0,18.0,24.0,3.0,9.04,0.48,33.94,Low
42.0,10.0,6.32,6.06,4.0,8.0,18.0,6.0,7.93,0.08,59.2,Medium
33.0,,12.79,8.71,4.0,18.0,13.0,6.0,15.5,0.57,94.89,High
23.0,1.0,12.36,6.58,4.0,18.0,0.0,8.0,14.89,0.99,100.0,High
32.0,19.0,6.3,6.61,0.0,8.0,6.0,8.0,11.22,1.69,26.53,Low
27.0,14.0,4.36,7.0,4.0,2.0,24.0,2.0,7.19,1.02,9.7,Low
42.0,19.0,12.05,5.34,4.0,,21.0,7.0,16.49,0.36,77.45,High
40.0,3.0,10.16,5.92,6.0,5.0,9.0,4.0,14.71,1.99,54.88,Medium
42.0,17.0,5.01,6.77,4.0,16.0,17.0,4.0,6.64,0.54,53.37,Medium
38.0,5.0,9.87,8.71,2.0,12.0,12.0,7.0,13.73,1.97,85.63,High
31.0,18.0,8.52,7.21,3.0,12.0,7.0,5.0,10.63,1.87,80.99,High
,10.0,11.75,5.67,5.0,6.0,8.0,9.0,13.13,1.08,83.26,High
25.0,1.0,6.09,,6.0,8.0,25.0,9.0,10.59,0.18,84.5,High
37.0,7.0,8.53,8.91,1.0,17.0,14.0,0.0,10.7,1.39,27.44,Low
38.0,10.0,5.56,6.46,3.0,0.0,7.0,3.0,7.94,1.69,7.52,Low
41.0,4.0,13.58,8.69,4.0,19.0,24.0,8.0,15.88,0.89,90.72,High
24.0,17.0,11.79,6.75,1.0,12.0,0.0,4.0,13.59,,70.07,High
43.0,17.0,11.37,7.03,1.0,7.0,2.0,3.0,14.11,1.61,50.94,Medium
28.0,13.0,10.9,7.56,3.0,8.0,18.0,9.0,13.61,1.09,90.8,High
,9.0,8.23,5.6,3.0,0.0,29.0,0.0,10.87,0.4,13.44,Low
29.0,2.0,13.23,7.49,3.0,8.0,8.0,8.0,17.9,1.9,85.95,High
38.0,8.0,4.73,6.63,6.0,19.0,18.0,7.0,7.09,1.9,54.5,Medium
22.0,2.0,12.03,7.36,6.0,10.0,14.0,2.0,13.15,0.73,59.48,Medium
,,6.15,8.18,5.0,19.0,13.0,8.0,7.86,0.13,67.02,Medium
34.0,11.0,7.24,4.92,3.0,3.0,25.0,0.0,11.13,1.26,42.03,Medium
20.0,11.0,9.19,7.07,5.0,15.0,0.0,3.0,12.55,0.63,43.91,Medium
26.0,2.0,11.83,4.26,0.0,13.0,2.0,4.0,16.64,0.13,83.98,High
31.0,6.0,12.39,4.51,7.0,19.0,1.0,3.0,16.17,1.78,100.0,High
36.0,13.0,9.84,7.37,2.0,17.0,24.0,3.0,11.62,2.0,47.05,Medium
40.0,10.0,8.03,4.35,7.0,8.0,29.0,8.0,9.51,0.7,78.58,High
43.0,6.0,13.47,6.98,5.0,0.0,0.0,4.0,16.55,1.49,46.75,Medium
39.0,9.0,6.47,5.1,2.0,2.0,26.0,0.0,10.13,0.13,38.93,Medium
24.0,10.0,12.03,5.52,4.0,19.0,17.0,6.0,13.69,0.74,85.48,High
23.0,14.0,10.12,4.65,0.0,0.0,0.0,5.0,13.53,0.22,51.69,Medium
31.0,18.0,7.77,5.24,1.0,2.0,8.0,8.0,12.23,0.11,43.02,Medium
39.0,15.0,4.01,8.11,,13.0,6.0,3.0,7.92,1.18,21.31,Low
43.0,19.0,8.47,7.19,4.0,13.0,29.0,,12.13,1.6,63.7,Medium
37.0,11.0,6.77,8.75,1.0,12.0,12.0,5.0,10.93,0.91,46.4,Medium
36.0,17.0,5.04,4.24,6.0,0.0,16.0,9.0,6.46,1.05,43.94,Medium
38.0,12.0,4.75,7.96,2.0,14.0,12.0,6.0,6.57,0.54,25.15,Low
28.0,4.0,7.48,7.5,1.0,19.0,12.0,3.0,8.63,1.47,52.86,Medium
23.0,3.0,10.15,5.3,7.0,6.0,9.0,8.0,11.73,0.72,78.77,High
40.0,13.0,12.38,7.65,3.0,15.0,27.0,0.0,17.03,0.13,77.17,High
21.0,7.0,5.84,7.58,3.0,19.0,5.0,0.0,7.73,0.33,44.71,Medium
23.0,8.0,8.25,6.3,7.0,0.0,4.0,2.0,11.9,0.26,19.67,Low
21.0,,7.92,7.44,5.0,14.0,9.0,,11.69,0.87,79.38,High
34.0,2.0,9.13,6.22,5.0,,13.0,4.0,12.71,0.13,91.67,High
21.0,4.0,12.1,5.68,6.0,14.0,10.0,0.0,15.32,1.61,75.09,High
23.0,17.0,9.54,6.33,2.0,18.0,4.0,4.0,12.48,1.82,68.31,Medium
25.0,0.0,12.47,8.48,3.0,5.0,3.0,5.0,15.15,0.5,60.81,Medium
26.0,7.0,9.19,5.92,0.0,5.0,2.0,3.0,13.86,0.97,48.11,Medium
29.0,,10.04,6.02,4.0,0.0,13.0,6.0,11.08,1.04,60.67,Medium
38.0,16.0,8.37,7.04,2.0,15.0,12.0,2.0,9.58,1.97,49.31,Medium
38.0,16.0,12.23,7.76,2.0,17.0,23.0,4.0,,0.13,85.95,High
41.0,10.0,13.24,7.67,1.0,12.0,22.0,5.0,15.56,1.34,71.96,High
31.0,1.0,10.39,4.1,2.0,11.0,4.0,6.0,13.02,0.69,100.0,High
22.0,5.0,12.21,7.44,6.0,17.0,11.0,9.0,17.2,1.0,79.04,High
32.0,13.0,4.59,6.25,7.0,9.0,24.0,1.0,8.69,0.43,24.34,Low
37.0,2.0,13.06,6.62,4.0,13.0,27.0,4.0,17.57,0.32,75.41,High
,11.0,5.89,6.81,0.0,19.0,22.0,6.0,,0.49,76.94,High
40.0,3.0,6.57,7.66,1.0,10.0,9.0,6.0,8.53,0.14,39.48,Medium
34.0,11.0,4.53,8.16,4.0,17.0,,2.0,8.6,0.56,15.37,Low
20.0,12.0,13.65,7.23,7.0,11.0,6.0,7.0,17.88,1.38,,High
22.0,1.0,12.52,6.82,,16.0,6.0,0.0,15.72,1.3,80.57,High
27.0,1.0,13.13,5.87,5.0,2.0,3.0,3.0,17.71,1.11,60.12,Medium
23.0,14.0,12.47,4.69,2.0,0.0,11.0,2.0,17.34,0.0,52.76,Medium
35.0,16.0,8.8,8.79,6.0,0.0,27.0,3.0,11.68,0.25,30.83,Low
42.0,6.0,13.24,6.31,3.0,5.0,23.0,,15.13,1.69,84.12,High
29.0,13.0,13.69,6.83,5.0,18.0,3.0,7.0,16.76,0.54,100.0,High
31.0,11.0,9.03,7.76,3.0,3.0,6.0,3.0,13.99,1.82,18.05,Low
33.0,16.0,5.76,4.34,4.0,12.0,19.0,7.0,7.93,1.75,58.84,Medium
33.0,13.0,10.59,8.28,0.0,11.0,12.0,0.0,14.06,0.31,55.98,Medium
21.0,5.0,13.75,7.99,3.0,7.0,7.0,7.0,17.53,1.8,71.14,High
42.0,18.0,12.72,7.87,6.0,19.0,13.0,9.0,14.58,1.26,97.1,High
24.0,5.0,12.62,4.11,4.0,6.0,29.0,1.0,15.97,1.26,52.09,Medium
24.0,17.0,13.34,6.63,1.0,6.0,2.0,5.0,15.6,1.71,63.18,Medium
25.0,4.0,12.94,4.27,2.0,6.0,1.0,5.0,17.36,0.81,72.62,High
32.0,5.0,11.76,6.75,0.0,13.0,9.0,2.0,15.62,1.47,54.32,Medium
28.0,1.0,11.18,7.59,7.0,17.0,5.0,4.0,15.49,1.34,81.15,High
41.0,7.0,6.65,4.61,6.0,18.0,22.0,1.0,8.45,1.54,51.36,Medium
34.0,14.0,10.21,7.47,6.0,19.0,6.0,7.0,11.35,1.32,98.49,High
33.0,14.0,,6.25,0.0,18.0,15.0,7.0,13.61,0.16,76.54,High
43.0,10.0,12.62,8.06,1.0,17.0,5.0,4.0,15.17,0.59,95.77,High
26.0,0.0,8.92,6.67,0.0,5.0,15.0,6.0,10.64,1.88,46.85,Medium
44.0,17.0,5.28,5.68,4.0,15.0,26.0,7.0,6.65,0.45,59.67,Medium
39.0,11.0,4.05,5.66,0.0,2.0,23.0,3.0,7.12,0.94,0.0,Low
21.0,11.0,10.78,8.49,0.0,1.0,11.0,1.0,12.38,0.71,28.02,Low
26.0,10.0,9.5,6.26,0.0,14.0,21.0,4.0,12.77,0.17,66.34,Medium
25.0,7.0,7.31,6.03,7.0,19.0,14.0,6.0,11.22,0.36,73.63,
36.0,6.0,5.69,4.2,4.0,10.0,21.0,3.0,8.83,0.57,34.34,Low
44.0,1.0,8.67,5.82,5.0,18.0,2.0,3.0,13.28,0.93,70.29,High
44.0,10.0,5.0,8.25,2.0,17.0,27.0,3.0,6.62,1.75,32.59,Low
21.0,9.0,7.36,7.8,3.0,10.0,15.0,8.0,10.34,1.03,52.05,
22.0,2.0,7.79,5.1,5.0,2.0,17.0,8.0,9.44,1.3,50.08,
24.0,19.0,8.66,6.07,0.0,3.0,14.0,9.0,13.16,0.85,59.72,Medium
24.0,9.0,8.67,4.98,1.0,5.0,22.0,7.0,13.4,1.74,41.37,Medium
20.0,17.0,6.57,8.77,6.0,11.0,5.0,7.0,9.17,1.33,65.08,Medium
27.0,13.0,12.5,6.99,1.0,3.0,16.0,6.0,14.72,0.18,42.97,Medium
31.0,17.0,7.56,7.77,4.0,11.0,1.0,0.0,9.68,0.96,24.63,Low
43.0,7.0,6.3,7.57,2.0,,1.0,7.0,10.74,1.65,12.04,Low
23.0,9.0,5.76,8.37,0.0,1.0,16.0,3.0,9.49,1.47,1.18,Low
32.0,12.0,7.23,8.75,4.0,11.0,18.0,0.0,11.75,1.81,26.09,Low
42.0,7.0,4.68,4.16,3.0,12.0,,0.0,6.15,0.46,51.99,Medium
34.0,3.0,4.33,8.88,2.0,15.0,3.0,2.0,7.23,1.95,18.52,Low
30.0,3.0,10.05,8.35,2.0,3.0,27.0,2.0,13.75,0.57,38.47,Medium
29.0,4.0,10.19,5.91,4.0,7.0,17.0,9.0,14.78,0.1,64.93,Medium
22.0,0.0,9.3,8.19,5.0,4.0,7.0,0.0,11.83,0.99,12.98,Low
41.0,16.0,11.62,7.68,6.0,13.0,8.0,7.0,13.87,0.22,,High
33.0,1.0,4.39,7.97,1.0,14.0,23.0,3.0,9.04,1.36,31.68,Low
35.0,7.0,13.36,5.1,5.0,10.0,22.0,3.0,14.55,1.8,78.79,High
29.0,6.0,4.95,7.24,2.0,9.0,25.0,5.0,7.87,1.84,14.83,Low
29.0,14.0,10.74,4.13,1.0,9.0,17.0,8.0,13.57,1.21,99.44,High
31.0,4.0,5.33,8.24,2.0,5.0,21.0,8.0,6.91,1.07,34.63,Low
28.0,1.0,12.8,8.76,7.0,15.0,10.0,7.0,15.38,1.99,77.1,High
20.0,6.0,9.11,7.31,6.0,3.0,15.0,0.0,13.0,1.16,29.04,Low
24.0,,4.82,6.56,2.0,8.0,15.0,9.0,7.29,1.85,21.02,Low
39.0,6.0,10.17,7.63,2.0,9.0,3.0,9.0,12.41,1.83,61.4,Medium
27.0,6.0,4.09,5.63,3.0,4.0,20.0,1.0,,0.58,7.39,Low
30.0,13.0,11.76,7.13,1.0,9.0,8.0,2.0,16.71,0.03,80.0,High
31.0,17.0,10.51,7.59,3.0,15.0,12.0,4.0,14.63,,73.41,High
20.0,5.0,,4.71,1.0,10.0,24.0,4.0,10.52,1.72,11.92,Low
44.0,3.0,7.75,4.7,6.0,5.0,19.0,9.0,12.51,1.67,79.01,High
41.0,9.0,4.08,7.58,6.0,6.0,7.0,7.0,8.29,1.21,33.07,Low
39.0,17.0,10.94,6.16,7.0,,10.0,1.0,15.86,0.31,82.91,High
44.0,11.0,7.23,8.45,3.0,12.0,20.0,1.0,11.22,0.22,37.03,Medium
30.0,15.0,9.72,5.56,3.0,,8.0,7.0,13.37,1.91,77.33,High
24.0,6.0,13.57,4.21,3.0,8.0,17.0,0.0,17.34,0.84,60.46,Medium
34.0,5.0,6.99,7.25,6.0,7.0,19.0,8.0,11.59,1.3,55.98,Medium
24.0,4.0,13.9,7.42,6.0,15.0,2.0,1.0,17.63,1.81,86.66,High
31.0,2.0,10.33,6.77,4.0,2.0,22.0,4.0,14.37,1.74,22.34,
24.0,11.0,6.42,7.42,3.0,4.0,29.0,2.0,8.28,1.13,8.57,Low
36.0,14.0,8.37,6.62,7.0,12.0,17.0,,13.02,,,Medium
36.0,9.0,11.4,7.46,5.0,17.0,18.0,7.0,14.19,1.47,100.0,High
43.0,19.0,8.46,4.22,5.0,15.0,8.0,7.0,10.1,0.7,94.13,High
31.0,18.0,4.69,5.84,2.0,13.0,23.0,5.0,8.89,1.25,35.25,Medium
43.0,15.0,5.69,5.05,0.0,10.0,17.0,8.0,8.12,0.05,62.76,Medium
34.0,10.0,11.91,4.5,3.0,17.0,21.0,6.0,13.65,1.65,77.62,High
34.0,7.0,10.48,5.17,0.0,7.0,15.0,1.0,12.51,2.0,41.77,Medium
25.0,2.0,9.7,4.96,0.0,11.0,13.0,0.0,10.84,1.91,50.45,
31.0,6.0,5.68,8.87,2.0,18.0,18.0,7.0,7.04,0.72,44.91,Medium
39.0,6.0,12.38,5.43,0.0,19.0,27.0,0.0,15.75,1.06,72.8,High
37.0,13.0,13.61,5.15,7.0,1.0,28.0,7.0,18.07,0.47,87.13,High
33.0,1.0,4.41,8.17,6.0,8.0,21.0,8.0,7.2,0.61,49.86,Medium
21.0,9.0,4.78,6.1,0.0,8.0,29.0,0.0,8.28,0.91,0.0,Low
28.0,18.0,12.85,6.11,6.0,13.0,14.0,6.0,17.09,1.49,86.65,High
24.0,8.0,12.16,6.22,6.0,14.0,20.0,4.0,14.59,0.04,78.53,High
39.0,15.0,10.18,6.08,5.0,10.0,25.0,7.0,13.8,0.79,79.1,High
20.0,18.0,13.45,5.63,6.0,12.0,3.0,3.0,15.85,1.11,81.11,High
42.0,17.0,10.46,5.43,0.0,4.0,11.0,1.0,14.03,0.43,47.58,
22.0,8.0,6.16,8.41,1.0,5.0,6.0,6.0,8.03,0.16,12.93,Low
25.0,15.0,11.29,4.81,7.0,4.0,10.0,6.0,16.2,1.08,67.07,Medium
24.0,12.0,10.46,4.91,3.0,0.0,25.0,7.0,11.76,1.28,73.3,High
40.0,9.0,13.86,6.86,7.0,17.0,6.0,8.0,16.88,1.28,100.0,High
24.0,19.0,6.14,5.72,7.0,7.0,19.0,5.0,8.29,0.71,58.09,Medium
20.0,13.0,9.98,6.11,3.0,16.0,2.0,2.0,13.38,0.47,56.54,Medium
36.0,11.0,11.8,8.03,0.0,,,4.0,14.51,0.44,41.81,Medium
38.0,18.0,7.39,8.52,2.0,10.0,1.0,2.0,9.62,0.08,46.52,Medium
33.0,6.0,7.8,7.95,1.0,2.0,19.0,9.0,9.8,0.37,46.41,Medium
31.0,14.0,12.88,5.17,2.0,7.0,14.0,8.0,14.61,1.64,73.34,High
29.0,15.0,8.04,8.9,2.0,7.0,19.0,4.0,12.17,0.01,50.89,Medium
39.0,7.0,10.25,5.82,0.0,2.0,11.0,6.0,12.14,0.09,43.31,Medium
40.0,9.0,12.89,4.85,4.0,9.0,20.0,9.0,16.98,0.25,88.24,High
37.0,3.0,6.1,6.5,0.0,18.0,16.0,6.0,9.04,0.84,54.45,Medium
43.0,18.0,13.82,7.63,5.0,13.0,17.0,6.0,15.11,0.67,86.52,High
30.0,18.0,11.02,4.42,4.0,17.0,7.0,9.0,12.68,0.36,93.02,High
